Year,Date,Time,Type,Sex,Age,Activity,Location,Country,State,Fatal Y/N,Time_Range,Activity_clean,Activity_grouped
2011,May,,Provoked,M,,Fishing ,Miami-Dade County,USA,Florida,N,Unknown,fishing,Fishing
2011,April,,Unprovoked,M,32,Spearfishing,Palm Beach County,USA,Florida,N,Unknown,spearfishing,Fishing
2011,April,15:30:00,Unprovoked,M,49,Surfing ,Volusia County,USA,Florida,N,Afternoon,surfing,Surfing
2011,March,,Provoked,M,,"Standing, holding shark pup",Matagorda Beach,USA,Texas,N,Unknown,"standing, holding shark pup",Wading/Standing
2010,December,15:35:00,Unprovoked,M,16,Body boarding,Maui County,USA,Hawaii,N,Afternoon,body boarding,Other
2010,December,13:51:00,Unprovoked,M,46,Surfing,Maui County,USA,Hawaii,N,Afternoon,surfing,Surfing
2010,November,13:30:00,Provoked,M,33,Snorkeling,nan,USA,Palmyra Atoll,N,Afternoon,snorkeling,Diving
2010,October,15:20:00,Unprovoked,M,,Surfing,Florence,USA,Oregon,N,Afternoon,surfing,Surfing
2010,October,,Unprovoked,M,30,Scuba diving,Washington County,USA,Maine,N,Unknown,scuba diving,Diving
2010,October,08:50:00,Unprovoked,M,19,Body boarding,Santa Barbara County,USA,California,Y,Morning,body boarding,Other
2010,September,16:00:00,Unprovoked,M,29,Surfing,Winchester Bay,USA,Oregon,N,Afternoon,surfing,Surfing
2010,September,16:30:00,Unprovoked,M,18,Surfing,Sandridge Beach,USA,Virginia,N,Afternoon,surfing,Surfing
2010,September,,Unprovoked,M,27,Swimming,s County,USA,Florida,N,Unknown,swimming,Swimming
2010,September,,Unprovoked,M,,Surfing,Volusia County,USA,Florida,N,Unknown,surfing,Surfing
2010,September,12:00:00,Unprovoked,M,24,Surfing,Volusia County,USA,Florida,N,Afternoon,surfing,Surfing
2010,September,09:00:00,Unprovoked,M,24,Surfing,Volusia County,USA,Florida,N,Morning,surfing,Surfing
2010,August,09:00:00,Unprovoked,M,10,Boogie Boarding,Johns County,USA,Florida,N,Morning,boogie boarding,Other
2010,August,,Unknown,M,45,Kayak Fishing,San Mateo County,USA,California,N,Unknown,kayak fishing,Fishing
2010,August,15:00:00,Unprovoked,M,25,Surfing,New Hanover County,USA,North Carolina,N,Afternoon,surfing,Surfing
2010,August,19:15:00,Unknown,Y,,Swimming,Volusia County,USA,Florida,,Evening,swimming,Swimming
2010,August,12:40:00,Unknown,M,,Kayaking,Santa Barbara County,USA,California,N,Afternoon,kayaking,Paddleboarding
2010,August,11:00:00,Unprovoked,Y,37,Standing,Johns County,USA,Florida,N,Morning,standing,Wading/Standing
2010,July,,Unprovoked,M,16,Standing,Charleston County,USA,South Carolina,N,Unknown,standing,Wading/Standing
2010,July,16:30:00,Unprovoked,M,20,Surfing,Duval County,USA,Florida,N,Afternoon,surfing,Surfing
2010,July,10:35:00,Unprovoked,M,10,Swimming,Horry County,USA,South Carolina,N,Morning,swimming,Swimming
2010,July,13:30:00,Unprovoked,Y,13,Swimming,New Hanover County,USA,North Carolina,N,Afternoon,swimming,Swimming
2010,July,,Unprovoked,M,55,Surfing,Volusia County,USA,Florida,N,Unknown,surfing,Surfing
2010,July,,Unprovoked,M,,Fishing,Galveston County,USA,Texas,N,Unknown,fishing,Fishing
2010,July,,Provoked,M,,Fishing,Broward County,USA,Florida,N,Unknown,fishing,Fishing
2010,July,12:30:00,Provoked,M,20,Fishing,Off Long Island,USA,New York,N,Afternoon,fishing,Fishing
2010,July,,Unprovoked,M,19,Surfing,San Luis  Obispo County,USA,California,N,Unknown,surfing,Surfing
2010,July,15:15:00,Unprovoked,M,48,Stand-Up Paddleboarding,"Dog Patch, San Onofre",USA,California,N,Afternoon,stand-up paddleboarding,Paddleboarding
2010,June,,Unprovoked,M,20,Surfing,"Eight Mile Beach, Galveston",USA,Texas,N,Unknown,surfing,Surfing
2010,June,,Unprovoked,Y,6,Boogie Boarding,Fripp Island,USA,South Carolina,N,Unknown,boogie boarding,Other
2010,June,13:00:00,Unprovoked,Y,13,Swimming,Pender County,USA,North Carolina,N,Afternoon,swimming,Swimming
2010,June,12:30:00,Unprovoked,Y,18,Boogie Boarding,Jacksonville,USA,Florida,N,Afternoon,boogie boarding,Other
2010,May,08:45:00,Provoked,M,49,Fishing,Off Tarpon Springs,USA,Florida,N,Morning,fishing,Fishing
2010,May,10:30:00,Unprovoked,Y,10,Wading,Volusia County,USA,Florida,N,Morning,wading,Wading/Standing
2010,April,,Provoked,M,29,Measuring sharks,Hanalei Bay,USA,Florida,N,Unknown,measuring sharks,Other
2010,April,16:00:00,Unprovoked,M,68,Surfing,Kauai County,USA,Hawaii,N,Afternoon,surfing,Surfing
2010,February,15:00:00,Provoked,M,,Surf fishing / wading,Riviera Beach,USA,Florida,N,Afternoon,surf fishing / wading,Surfing
2010,February,15:44:00,Unprovoked,M,38,Kite Boarding,Martin County,USA,Florida,Y,Afternoon,kite boarding,Surfing
2010,January,10:15:00,Unprovoked,M,32,Spearfishing,Elliot Key,USA,Florida,N,Morning,spearfishing,Fishing
